Age,income,number_of_logins,purchase_count,last_login_days,subscription,will_churn
60,39592,4,1,60,Basic,1
26,96482,28,4,10,Basic,1
33,55495,8,6,29,Premium,1
61,96426,8,2,53,Standard,1
20,45926,25,8,7,Premium,0
41,38396,11,4,22,Basic,0
58,59671,9,0,83,Basic,0
44,35328,41,14,5,Premium,0
43,100674,10,2,32,Basic,0
38,35458,7,2,37,Basic,1
43,46319,21,14,6,Standard,0
63,109939,13,6,29,Basic,0
30,85589,9,1,59,Standard,1
23,55021,25,10,13,Basic,0
33,99341,14,7,20,Premium,0
61,85142,3,1,58,Basic,1
54,59438,28,13,10,Premium,0
34,43131,10,8,25,Premium,1
27,45033,7,0,45,Premium,1
58,86348,32,4,5,Premium,0
27,95381,18,2,34,Standard,1
30,84470,9,1,58,Basic,1
26,106959,35,12,14,Standard,0
29,74009,24,2,27,Basic,0
51,27552,5,1,71,Basic,1
56,35322,30,5,12,Basic,0
54,41483,23,6,31,Basic,1
53,104507,9,1,52,Standard,1
45,73944,31,11,15,Standard,1
34,33392,25,3,10,Standard,0
20,34305,4,0,32,Premium,0
41,34287,23,14,4,Premium,0
54,42342,23,3,39,Premium,0
46,49957,7,2,37,Basic,1
49,32100,35,5,11,Premium,1
41,39322,14,6,16,Basic,0
47,49050,4,0,84,Standard,1
55,37833,32,4,11,Basic,0
35,46798,23,3,25,Standard,0
23,46579,7,2,25,Standard,0
49,62388,45,15,12,Standard,0
55,88788,17,3,16,Basic,0
57,96066,1,0,65,Basic,1
52,94615,45,12,1,Basic,1
31,33981,15,5,12,Premium,1
56,57271,10,0,30,Premium,1
57,99085,44,8,6,Premium,0
65,66180,20,3,18,Basic,0
39,84929,1,3,34,Standard,1
56,38104,21,12,9,Basic,0
42,34016,17,3,21,Basic,0
54,64651,9,2,26,Premium,0
26,42601,43,5,2,Standard,0
29,60697,14,7,29,Standard,1
63,108130,8,2,89,Standard,0
23,37097,41,8,7,Premium,1
41,42146,13,7,18,Premium,0
65,81057,2,0,26,Premium,0
64,44536,41,9,1,Premium,0
29,81333,17,4,11,Basic,0
22,71898,2,2,56,Basic,1
46,106351,44,7,3,Premium,0
31,79040,18,8,15,Basic,0
62,57527,2,3,45,Standard,0
50,54154,44,11,14,Basic,0
34,54219,14,5,31,Basic,1
24,61585,7,2,90,Standard,0
27,59237,45,8,10,Basic,1
58,81959,18,5,33,Standard,0
52,40157,5,0,49,Standard,1
20,93146,38,15,11,Premium,0
32,72739,18,6,12,Standard,1
27,64363,7,2,64,Premium,1
38,97667,28,14,4,Basic,0
63,47810,17,5,28,Premium,0
20,64829,7,2,51,Standard,1
48,53010,40,15,8,Premium,0
25,62196,18,2,31,Premium,0
35,65687,3,0,50,Basic,1
50,105120,28,14,8,Basic,0
65,75328,15,3,22,Standard,0
20,38970,3,3,53,Standard,1
35,40906,40,11,3,Standard,0
55,103047,22,6,40,Standard,0
52,80933,3,3,82,Premium,1
35,108579,39,12,13,Standard,0
35,60992,17,3,12,Standard,1
40,95798,3,1,42,Basic,1
29,53043,28,9,7,Basic,0
46,33161,21,5,36,Basic,0
57,27560,8,0,73,Premium,0
39,76116,38,15,9,Standard,0
58,53906,16,5,17,Standard,0
44,69057,3,3,76,Premium,0
59,95008,27,13,15,Basic,0
21,36003,12,8,23,Premium,0
23,59099,4,3,66,Standard,1
44,61471,41,5,5,Standard,0
54,31826,10,8,17,Standard,0
22,29067,1,1,50,Basic,1
50,39993,29,15,4,Premium,0
43,46992,11,8,29,Premium,0
39,39168,5,3,28,Premium,1
65,50995,37,14,10,Basic,0
64,64529,11,8,29,Premium,0
22,70508,6,0,79,Premium,1
41,26658,30,5,14,Standard,0
43,108307,12,5,32,Standard,1
53,60400,8,3,86,Premium,1
57,60179,22,5,14,Standard,0
48,56963,20,4,28,Standard,1
40,48834,6,2,52,Standard,1
58,61211,31,7,1,Premium,1
46,89038,15,7,34,Premium,0
65,89332,2,2,27,Standard,1
64,56890,33,9,11,Standard,0
53,70056,25,4,33,Standard,1
49,60509,4,0,57,Standard,1
40,40670,45,15,9,Premium,0
33,88464,24,6,33,Standard,1
26,50443,6,1,54,Standard,1
65,95010,16,4,5,Basic,0
64,41551,23,2,37,Premium,0
56,62268,8,2,86,Standard,1
23,58092,41,5,2,Standard,0
24,100631,9,3,31,Premium,1
56,64824,2,3,56,Basic,1
59,54581,29,11,7,Premium,0
57,81207,9,6,28,Standard,0
26,52235,5,0,52,Premium,1
31,97350,15,10,3,Basic,0
58,86592,15,4,11,Standard,0
64,84510,5,1,54,Basic,1
54,54466,44,8,3,Premium,0
24,32816,17,6,35,Basic,0
56,62828,8,2,40,Standard,1
37,90597,29,5,8,Premium,0
47,67247,8,2,18,Premium,1
63,100392,5,0,27,Premium,1
31,86669,29,8,11,Premium,0
57,82132,23,2,36,Premium,0
46,68687,3,2,38,Standard,1
51,62777,41,12,7,Premium,1
25,66224,11,8,20,Standard,0
52,25150,7,0,84,Premium,1
43,106609,29,4,11,Standard,0
55,42172,23,2,24,Standard,1
60,104806,5,0,45,Basic,1
25,54451,45,5,8,Basic,0
29,90323,24,7,19,Premium,1
